term,int_rate,dti,fico_range_low,total_rec_int,total_rec_late_fee,last_fico_range_high,last_fico_range_low,acc_open_past_24mths,num_tl_op_past_12m,loan_to_income,loan_int_rate_interaction
36,11.99,6.98,665.0,764.65,0.0,574.0,570.0,5.0,2.0,0.18517832672863968,59950.0
36,6.89,16.36,705.0,419.28,0.0,659.0,655.0,10.0,3.0,0.12121065199209706,68900.0
60,18.49,11.41,670.0,668.07,0.0,519.0,515.0,7.0,5.0,0.18360354748282814,207087.99999999997
60,18.2,25.35,665.0,2088.96,0.0,539.0,535.0,2.0,1.0,0.1999960000799984,182000.0
60,16.99,15.48,735.0,1154.97,0.0,674.0,670.0,5.0,2.0,0.2941118801592126,254849.99999999997
60,18.49,18.17,685.0,3670.43,0.0,689.0,685.0,7.0,5.0,0.1647039446594746,258859.99999999997
36,6.24,20.58,705.0,982.41,0.0,734.0,730.0,9.0,3.0,0.11110987655692714,62400.0
36,9.17,21.0,680.0,125.82,0.0,669.0,665.0,6.0,4.0,0.07050495649844184,45850.0
36,11.99,25.6,670.0,1039.18,0.0,759.0,755.0,8.0,7.0,0.06666592593415628,71940.0
36,11.48,19.32,695.0,2627.79,0.0,709.0,705.0,12.0,7.0,0.20689512486120784,344400.0
36,13.18,33.13,665.0,1031.73,0.0,704.0,700.0,2.0,2.0,0.2666577780740642,105440.0
60,14.48,16.28,660.0,1872.5,0.0,509.0,505.0,2.0,0.0,0.1363623967054845,217200.0
36,10.64,19.04,690.0,1259.54,0.0,729.0,725.0,2.0,1.0,0.24999583340277662,159600.0
36,10.64,20.04,720.0,564.05,0.0,499.0,0.0,5.0,3.0,0.19230399415395857,106400.0
60,12.59,22.52,675.0,3243.99,0.0,509.0,505.0,8.0,3.0,0.2799972000279997,352520.0
36,12.88,16.77,705.0,2075.63,73.0,619.0,615.0,3.0,2.0,0.21699566008679827,139748.0
36,15.41,33.81,665.0,5323.03,0.0,729.0,725.0,1.0,0.0,0.16153721894446965,323610.0
36,9.76,11.96,705.0,3127.65,0.0,769.0,765.0,5.0,1.0,0.22429696918720385,234240.0
36,7.89,31.11,725.0,1024.06,0.0,709.0,705.0,12.0,3.0,0.1481454047147275,63120.0
36,7.26,21.94,685.0,1932.88,0.0,699.0,695.0,3.0,1.0,0.16799832001679985,121968.0
36,12.59,21.27,675.0,4419.55,0.0,694.0,690.0,3.0,2.0,0.29267935756881014,302160.0
36,12.88,19.25,710.0,1477.6,0.0,679.0,675.0,3.0,1.0,0.2571336737973644,92736.0
60,20.99,37.58,685.0,1634.19,0.0,699.0,695.0,6.0,2.0,0.18928270979825718,250305.74999999997
36,10.64,22.34,690.0,366.22,0.0,699.0,695.0,0.0,0.0,0.03921517365786068,31920.0
36,6.89,20.42,710.0,1968.87,0.0,804.0,800.0,3.0,3.0,0.3333271606081369,124020.0
36,18.2,12.27,675.0,2433.25,0.0,639.0,635.0,12.0,6.0,0.30649387012259754,278915.0
36,11.99,30.76,685.0,701.52,0.0,669.0,665.0,8.0,4.0,0.11249648448485985,43164.0
36,12.59,24.33,700.0,1254.66,0.0,574.0,570.0,9.0,3.0,0.11110905353604562,75540.0
60,21.99,17.5,660.0,4011.67,0.0,559.0,555.0,6.0,3.0,0.25670418653431054,462889.49999999994
36,7.89,19.78,715.0,1008.53,0.0,794.0,790.0,5.0,0.0,0.059419859276382055,64698.0
36,5.32,18.16,780.0,1331.03,0.0,784.0,780.0,2.0,2.0,0.2571391837259468,95760.0
60,20.99,28.55,710.0,85.61,0.0,714.0,710.0,4.0,1.0,0.4397182449005262,440265.24999999994
36,6.24,11.74,740.0,729.98,0.0,799.0,795.0,5.0,3.0,0.15384378701866125,62400.0
60,14.48,34.62,660.0,3555.28,0.0,579.0,575.0,3.0,2.0,0.38786703433229297,185344.0
36,6.24,6.01,695.0,1777.7,0.0,699.0,695.0,6.0,1.0,0.24657196476760593,112320.0
60,18.49,36.88,660.0,3965.16,0.0,549.0,545.0,8.0,2.0,0.33578782300402266,273189.75
36,7.89,24.09,730.0,1457.04,0.0,664.0,660.0,1.0,1.0,0.21817785131179432,94680.0
36,7.26,10.55,705.0,289.79,0.0,724.0,720.0,2.0,1.0,0.29165451439523354,50820.0
36,5.32,27.81,740.0,1006.03,0.0,739.0,735.0,3.0,2.0,0.08275804994448314,63840.0
60,11.99,13.46,760.0,1568.53,0.0,749.0,745.0,8.0,5.0,0.34285224496792904,287760.0
36,7.89,21.25,685.0,250.78,0.0,809.0,805.0,3.0,1.0,0.04444345681207084,15780.0
